Nome Conto,Entrate/Uscite,Causale,Data
YAP,-42.90,shopping abbigliamento,26/01/2019 15:52.15
Portafogli,-5,sabato sera,27/01/2019 12:05.47
Genius Card,5,bonus satispay,28/01/2019 14:33.15
Genius Card,-18,Rifornimento GPL,29/01/2019 18:46.46
Genius Card,5,Risarcimento Amazon Prime (disattivato),31/01/2019 11:49.10
Portafogli,10,rimborso rifornimento GPL,01/02/2019 15:14.22
Portafogli,-10,Sabato sera,03/02/2019 20:45.22
Portafogli,-5,varie,04/02/2019 15:57.43
Portafogli,-10,Prestito a Fra,08/02/2019 18:50.29
Genius Card,-19,Rifornimento GPL,08/02/2019 18:50.41
Portafogli,10,Restituzione prestito Fra,08/02/2019 21:33.20
Genius Card,-5,Trasferimento dal conto -Genius Card- al conto -Portafogli-,10/02/2019 21:45.01
Portafogli,5,Trasferimento dal conto -Genius Card- al conto -Portafogli-,10/02/2019 21:45.01
YAP,-15,Trasferimento dal conto -YAP- al conto -Portafogli-,10/02/2019 21:45.19
Portafogli,15,Trasferimento dal conto -YAP- al conto -Portafogli-,10/02/2019 21:45.19
Portafogli,-5,pila nuova per orologio (e varie),12/02/2019 19:54.34
Portafogli,-15,parrucchiere,13/02/2019 18:40.33
Genius Card,248,Stipendio Cittadella Mediterranea della Scienza,15/02/2019 23:57.47
Portafogli,-15,Pranzo fuori casa (sanvalentino),18/02/2019 13:36.49
Genius Card,-4,varie,18/02/2019 13:36.57
Portafogli,-5,pranzo cittadella,22/02/2019 20:07.28
Portafogli,-10,cinema Green Book (bello!),22/02/2019 20:07.53
Genius Card,-19,Rifornimento GPL,22/02/2019 20:08.05
Portafogli,20,Rimborso rifonrimento GPL,23/02/2019 12:10.31
Portafogli,-10,Regalo compleanno Giulia Miccolis,24/02/2019 18:00.15
Genius Card,-10,Ricarica HO.  (Scadenza del: 24/2/2019),24/02/2019 18:01.19
Portafogli,-5,Uscita random domenicale,25/02/2019 17:17.13
Genius Card,-6,Trasferimento dal conto -Genius Card- al conto -YAP-,01/03/2019 18:27.10
YAP,6,Trasferimento dal conto -Genius Card- al conto -YAP-,01/03/2019 18:27.10
YAP,-3.93,acquisto su Aliexpress: torcia UV e tag NFC,01/03/2019 18:28.06
YAP,-0.10,correzione,01/03/2019 18:28.35
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/2/2019),04/03/2019 13:08.53
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/3/2019),04/03/2019 13:09.05
Genius Card,-3,commissioni poste,04/03/2019 13:09.52
Genius Card,-151.70,Shopping abbigliamento,07/03/2019 19:23.40
Genius Card,519,Stipendio Cittadella Mediterranea della Scienza,07/03/2019 19:25.47
Portafogli,-5,Fiori festa della donna per Alessandra,09/03/2019 16:35.30
Genius Card,-19,Rifornimento GPL,09/03/2019 16:35.55
Portafogli,-5,Uscita random domenica (Ritorno di Rita dall'Inghilterra),14/03/2019 16:03.54
Portafogli,-5,varie,14/03/2019 16:04.46
Genius Card,-19,Rifornimento GPL,16/03/2019 12:26.01
Portafogli,20,Risarcimento rifornimento GPL,16/03/2019 19:25.29
Genius Card,-27,Regalo compleano Alessandra (Diffusore di aromi),22/03/2019 21:36.31
Genius Card,-10,Ricarica Ho mobile,24/03/2019 09:56.58
Portafogli,-25,Sabato sera + festeggiamenti mio compleanno (offerto cornetti),24/03/2019 09:57.56
Portafogli,-10,Regalo compleanno Giò,25/03/2019 14:58.09
Genius Card,-180,Trasferimento dal conto -Genius Card- al conto -Portafogli-,28/03/2019 13:33.49
Portafogli,180,Trasferimento dal conto -Genius Card- al conto -Portafogli-,28/03/2019 13:33.49
Portafogli,-5,Da contanti a spiccioli,28/03/2019 13:35.43
Portafogli,-15,Uscita sabato sera,31/03/2019 12:13.37
Portafogli,20,Restituzione di parte del debito (Alessandra),01/04/2019 18:45.35
Portafogli,-10,Uscita a caso domenica sera,05/04/2019 15:26.15
Genius Card,540,Stipendio Cittadella Mediterranea della Scienza,05/04/2019 15:27.36
Genius Card,-20,Rifornimento GLP,13/04/2019 10:54.33
Portafogli,-130,Revisione auto (prestati),13/04/2019 10:55.33
Portafogli,-10,Sabato sera + biglietti autobus,14/04/2019 15:36.56
Portafogli,-10,Furto e ritrovamento bici,16/04/2019 14:37.03
Genius Card,-45,Regalo Pasqua Ale (Camicia) + prestito,19/04/2019 17:25.08
Portafogli,45,Restituzione di parte del debito (Alessandra) 20 + restituzione debito 25,19/04/2019 17:27.25
Portafogli,-10,Uscita a caso venerdì sera,20/04/2019 13:17.28
Portafogli,-15,Uscita Sabato sera,21/04/2019 11:08.26
Portafogli,-5,Pasquetta,23/04/2019 10:26.57
Genius Card,-10.0,Ricarica HO.  (Scadenza del: 25/04/2019),23/04/2019 22:28.55
Portafogli,-15,Sabato sera,28/04/2019 12:41.22
Genius Card,-19,Rifornimento GPL,02/05/2019 19:36.03
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/4/2019),02/05/2019 19:36.52
Portafogli,70,Risarcimento rifornimento GPL + restituzione debito mamma,02/05/2019 19:37.38
Portafogli,-15,Sabato sera,02/05/2019 19:38.53
Genius Card,110.5,restituzione debito mamma,02/05/2019 19:39.58
Portafogli,-20,|Uscita a caso, concerto bossanova al Duke|,04/05/2019 15:18.29
Genius Card,-20,regalo compleanno Antonio Cittadella,05/05/2019 14:50.13
Portafogli,20,10 restituzione soldi anticipati ad Ale +10 soldi anticipati a Valeria per regalo ad Antonio,05/05/2019 14:51.05
Genius Card,-49,Acquisto Scarpe,05/05/2019 14:53.48
Portafogli,-5,Uscita San Nicola,09/05/2019 14:21.51
Genius Card,419,Stipendio Cittadella Mediterranea della Scienza,09/05/2019 14:23.53
Portafogli,-5,Uscita a caso,11/05/2019 10:51.53
Portafogli,-10,Sabato sera,12/05/2019 19:46.57
Portafogli,-5,Uscita a caso,13/05/2019 17:13.45
Genius Card,-30,Anticipo per Ale (shopping),15/05/2019 09:51.23
Genius Card,-15,Macdonald e anticipo Ale,15/05/2019 09:51.55
Genius Card,-11.80,Torta Morciano e anticipo Ale,15/05/2019 09:52.32
Portafogli,25,restituzione parte dell'anticipo Ale,15/05/2019 09:53.42
Genius Card,-40,Rifornimento GPL + Benzina (20 e 20),18/05/2019 13:15.12
Portafogli,40,Restituzione prestito Ale (anticipati a San Valentino),19/05/2019 00:19.39
Portafogli,-20,Parrucchiere,23/05/2019 17:56.03
Portafogli,-5,Uscita a caso,23/05/2019 17:56.13
Genius Card,-10.0,Ricarica HO.  (Scadenza del: 25/05/2019),24/05/2019 10:03.14
Portafogli,40,Risarcimento rifornimento GPL e benzina,24/05/2019 21:43.05
Genius Card,-45,Trasferimento dal conto -Genius Card- al conto -Portafogli-,27/05/2019 12:44.42
Portafogli,45,Trasferimento dal conto -Genius Card- al conto -Portafogli-,27/05/2019 12:44.42
Portafogli,-10,Sabato sera,27/05/2019 12:44.55
YAP,4.50,Cashback,27/05/2019 12:45.10
Portafogli,-5,|Cinema (Aladdin 2019, non male)|,27/05/2019 12:45.54
Portafogli,10,Restituzione prestito Ale,27/05/2019 12:46.40
Portafogli,-30,Fiori e pranzo secondo anniversario con Ale,01/06/2019 18:16.12
Genius Card,-18,Rifornimento GPL,03/06/2019 17:05.26
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/5/2019),03/06/2019 17:05.38
Genius Card,-110.5,Rata Istituto Volta Corso di programmazione Java (Scadenza del: 04/6/2019),03/06/2019 17:05.58
Genius Card,-3,Varie (commissioni pagameto bollettino),03/06/2019 17:06.58
Portafogli,-5,Uscita a caso domenica sera,05/06/2019 09:59.49
Genius Card,440,Stipendio Cittadella Mediterranea della Scienza,06/06/2019 11:18.39
Genius Card,-39,Acquisto occhiali da sole,07/06/2019 17:35.34
Genius Card,-94,Shopping,07/06/2019 17:36.34
Genius Card,-15,Pranzo dal macdonald,07/06/2019 17:36.53
Portafogli,10,Restituzione anticipo Ale,07/06/2019 17:37.06
Portafogli,-10,Regalo complanno Fiorenza,09/06/2019 10:51.20
Portafogli,-15,Sabato sera,09/06/2019 10:51.33
Portafogli,-20,regalo laurea Gio,12/06/2019 11:13.44
Genius Card,-20,shopping costume da bagno,12/06/2019 11:14.33
Genius Card,-14,Serata a caso,12/06/2019 11:15.42
Portafogli,5,Restituzione anticipo Ale,12/06/2019 14:59.23
Genius Card,-390,B&B viaggio Roma,12/06/2019 14:59.49
Genius Card,-150,Trasferimento dal conto -Genius Card- al conto -Portafogli-,13/06/2019 12:59.02
Portafogli,150,Trasferimento dal conto -Genius Card- al conto -Portafogli-,13/06/2019 12:59.02
Portafogli,-10,Taxi Roma,18/06/2019 09:19.32
Portafogli,-15,Pranzo Roma,18/06/2019 09:19.48
Portafogli,-10,Biglietti bus Rom,18/06/2019 09:20.03
Portafogli,-30,Cena sushi Roma,18/06/2019 09:20.17
Portafogli,-20,Tassa di soggiorno Ara Pacis inn Roma,18/06/2019 09:20.48
Portafogli,-25,Pranzo Roma,18/06/2019 09:20.58
Portafogli,-40,Cena Roma,18/06/2019 09:21.13
Portafogli,-20,Pranzo Roma,18/06/2019 09:21.21
Portafogli,-25,Divisione spesa Diesel Roma,18/06/2019 09:22.12
Genius Card,200,Restituzione anticipo soldi Ara Pacis Inn di Alessandra,18/06/2019 09:22.44
Portafogli,-30,Anticipo soldi bollo auto,19/06/2019 21:56.10
Portafogli,5,Correzione (Varie),19/06/2019 22:10.03
Genius Card,-10,Trasferimento dal conto -Genius Card- al conto -Portafogli-,21/06/2019 13:56.22
Portafogli,10,Trasferimento dal conto -Genius Card- al conto -Portafogli-,21/06/2019 13:56.22
Portafogli,10,Restituzione parte dell'anticipo bollo auto,21/06/2019 13:56.47
Portafogli,-5,Sabato sera,25/06/2019 10:52.54
Portafogli,-20,Prestito mamma,25/06/2019 10:53.03
Genius Card,-40,Trasferimento dal conto -Genius Card- al conto -Portafogli-,25/06/2019 11:03.52
Portafogli,40,Trasferimento dal conto -Genius Card- al conto -Portafogli-,25/06/2019 11:03.54
Portafogli,-20,Parrucchiere,26/06/2019 18:41.36
Portafogli,-5,Uscita casuale,28/06/2019 16:29.25
Portafogli,40,Restituzione debito mamma,28/06/2019 16:29.36
Portafogli,-60,Aereo viaggio Mantova (Settembre),29/06/2019 20:35.48
Portafogli,-15,Sabato sera,30/06/2019 15:25.05
Portafogli,10,Prestito Fra da restituire,30/06/2019 15:26.18
Genius Card,-5,Trasferimento dal conto -Genius Card- al conto -YAP-,02/07/2019 21:02.12
YAP,5,Trasferimento dal conto -Genius Card- al conto -YAP-,02/07/2019 21:02.12
Portafogli,-10,Regalo compleanno Stefano,02/07/2019 21:02.56
Genius Card,-120,Trasferimento dal conto -Genius Card- al conto -Portafogli-,03/07/2019 17:48.10
Portafogli,120,Trasferimento dal conto -Genius Card- al conto -Portafogli-,03/07/2019 17:48.10
Genius Card,328,Stipendio Cittadella Mediterranea della Scienza,05/07/2019 14:51.32
Portafogli,-5,varie,11/07/2019 17:22.55
Portafogli,-20,Regalo Laurea Giada,11/07/2019 17:23.38
Portafogli,-30,Spiaggia + pranzo + cena,11/07/2019 17:24.07
Portafogli,-10,Sabato sera,11/07/2019 17:24.16
Genius Card,-20,Rifornimento Benzina,11/07/2019 17:24.48
Genius Card,-23,Shopping,11/07/2019 17:24.57
Genius Card,-20,Trasferimento dal conto -Genius Card- al conto -Portafogli-,11/07/2019 17:25.08
Portafogli,20,Trasferimento dal conto -Genius Card- al conto -Portafogli-,11/07/2019 17:25.08
Portafogli,-40,Correzione,11/07/2019 17:28.57
Portafogli,-10,Prestito mamma,14/07/2019 17:53.32
Portafogli,-5,Restituzione soldi padre Ale (volo Mantova),14/07/2019 17:53.58
Portafogli,-15,Sabato sera,14/07/2019 17:54.07
Genius Card,-43,Prestito soldi Ale,16/07/2019 15:12.00
Genius Card,-16,Shopping,16/07/2019 15:12.28
Portafogli,30,Restituzione anticipo mamma e risarcimento rifornimento benzina,16/07/2019 16:31.01
Genius Card,-27,Anticipo soldi mamma,16/07/2019 17:28.38
Portafogli,25,restituzione anticipo mamma,16/07/2019 17:28.51
Genius Card,-4,Amazon prime,16/07/2019 18:32.12
Portafogli,-15,Regalo compleanno Tatiana,22/07/2019 12:55.10
Portafogli,-10,Regalo compleanno Alessia,22/07/2019 12:55.25
Portafogli,10,Restituzione parte anticipo Ale,23/07/2019 11:17.06
Genius Card,-10.0,Ricarica HO.  (Scadenza del: 24/07/2019),23/07/2019 11:18.32
Genius Card,-18,Shopping,27/07/2019 17:33.29
Portafogli,-5,Varie,27/07/2019 17:33.53
Genius Card,-19,Rifornimento GPL,27/07/2019 17:34.03
Portafogli,-5,Uscita random domenica,27/07/2019 17:34.47
Portafogli,20,Restituzione parte del debito Ale,29/07/2019 13:10.59
Portafogli,-15,Sabato sera,29/07/2019 13:11.05
Portafogli,-20,Uscita a caso domenica,29/07/2019 13:11.15
Portafogli,15,Risarcimento parte rifornimento GPL,29/07/2019 13:11.53
Portafogli,-5,Varie,06/08/2019 13:07.54
Portafogli,-5,Sabato sera,06/08/2019 13:08.05
Genius Card,-5,Rifonimento benzina,06/08/2019 13:08.14
Genius Card,-18,Rifornimento GPL*,06/08/2019 13:08.28
Genius Card,-14.50,|varie, crema solare*|,10/08/2019 09:21.08
Portafogli,-10,Sabato sera,12/08/2019 08:47.57
Genius Card,-36,Shopping maglioncino,12/08/2019 08:48.17
Portafogli,5,Restituzione parte anticipo Ale,13/08/2019 09:42.33
Portafogli,10,Restituzione parte anticipo Ale,13/08/2019 09:42.33
Portafogli,-15,Uscita Ferragosto,15/08/2019 20:09.34
Genius Card,-18,Rifornimento GPL*,15/08/2019 20:09.53
Portafogli,20,Risarcimento rifornimento GPL (Ni),15/08/2019 20:10.22
Portafogli,-10,Sabato sera,19/08/2019 09:53.23
Portafogli,0,err,21/08/2019 19:14.09
Genius Card,-18,Rifornimento GPL*,21/08/2019 19:14.21
Genius Card,-7,Spesa*,22/08/2019 17:40.09
Genius Card,-10.0,Ricarica HO.  (Scadenza del: 23/08/2019),24/08/2019 18:06.28
Portafogli,-5,Uscita a caso,24/08/2019 18:06.40
Genius Card,192,Restituzione anticipo viaggio Mantova ,29/08/2019 12:31.50
Genius Card,-33,Anticipo Ale zaino,30/08/2019 22:23.27
Portafogli,30,Restituzione anticipo Ale zaino,30/08/2019 22:23.38
Genius Card,-23,Biglietti treno Mantova,30/08/2019 22:24.02
Genius Card,-31,Shopping crema viso ecc..,30/08/2019 22:27.20
Genius Card,-20,Regalo compleanno Savi + anticipo soldi Ale,01/09/2019 18:49.18
Portafogli,60,Restituzione anticipi*,01/09/2019 18:49.30
Portafogli,-45,Treni e bus viaggio Mantova,02/09/2019 17:09.11
Genius Card,-70,Trasferimento dal conto -Genius Card- al conto -Portafogli-,05/09/2019 12:35.41
Portafogli,70,Trasferimento dal conto -Genius Card- al conto -Portafogli-,05/09/2019 12:35.41
Genius Card,-395,Hotel Mantova (viaggio Mantova),12/09/2019 23:25.48
Genius Card,-14,Spesa + varie viaggio Mantova,12/09/2019 23:28.44
YAP,-8.40,Treno viaggio Mantova,12/09/2019 23:29.51
Portafogli,100,Prestito mamma per viaggio Mantova,12/09/2019 23:40.08
Portafogli,10,Restituzione anticipo Ale,12/09/2019 23:41.30
Portafogli,-210,Varie Viaggio Mantova,12/09/2019 23:45.26
Portafogli,130,Paga per lavoro presso Federesports per evento motorclub Bari,12/09/2019 23:46.20
Portafogli,-5,Uscita a caso,14/09/2019 09:43.30
Portafogli,-10,Uscita sabato sera,15/09/2019 01:34.17
Portafogli,-10,Uscita sabato sera,22/09/2019 19:28.10
Genius Card,-5,Ricarica Ho. mobile,24/09/2019 13:58.31
Portafogli,20,Restituzione parte debito Ale,28/09/2019 12:04.16
Portafogli,-10,Uscita a caso,28/09/2019 12:04.26
Portafogli,-5,Uscita sabato sera,29/09/2019 11:56.57
Portafogli,-10,Regalo compleanno Angelica,06/10/2019 18:13.53
Portafogli,-25,Uscita sabato sera,06/10/2019 18:14.03
Genius Card,-4.80,Uscita a caso,13/10/2019 10:58.23
Portafogli,-5,Uscita a caso,13/10/2019 10:58.42
Portafogli,-10,Uscita sabato sera,13/10/2019 10:58.55
Portafogli,-50,Regalo cresima Giuseppino,20/10/2019 21:09.30
Portafogli,-10,Uscita a caso,20/10/2019 21:10.20
Genius Card,-10.0,Ricarica HO.  (Scadenza del: 24/10/2019),26/10/2019 13:28.58
Portafogli,-5,Pranzo lavoro,26/10/2019 13:29.11
Portafogli,-15,Regalo di compleanno per Lucia,26/10/2019 13:29.24
Portafogli,20,Prestito mamma,03/11/2019 16:36.56
Portafogli,-15,Regalo compleanno Giada,03/11/2019 16:37.11
Portafogli,-10,Uscita sabato sera,03/11/2019 16:37.27
