Nome Conto,Entrate/Uscite,Causale,Data
Portafogli,-25,Sabato sera + festeggiamenti mio compleanno (offerto cornetti),24/03/2019 09:57.56
Portafogli,-10,Regalo compleanno Gio,25/03/2019 14:58.09
Genius Card,-180,Trasferimento dal conto -Genius Card- al conto -Portafogli-,28/03/2019 13:33.49
Portafogli,180,Trasferimento dal conto -Genius Card- al conto -Portafogli-,28/03/2019 13:33.49
Portafogli,-5,Da contanti a spiccioli,28/03/2019 13:35.43
Portafogli,-15,Uscita sabato sera,31/03/2019 12:13.37
Portafogli,20,Restituzione di parte del debito (Alessandra),01/04/2019 18:45.35
Portafogli,-10,Uscita a caso domenica sera,05/04/2019 15:26.15
Genius Card,540,Stipendio Cittadella Mediterranea della Scienza,05/04/2019 15:27.36
Genius Card,-20,Rifornimento GLP,13/04/2019 10:54.33
Portafogli,-130,Revisione auto (prestati),13/04/2019 10:55.33
Portafogli,-10,Sabato sera + biglietti autobus,14/04/2019 15:36.56
Portafogli,-10,Furto e ritrovamento bici,16/04/2019 14:37.03
Genius Card,-45,Regalo Pasqua Ale (Camicia) + prestito,19/04/2019 17:25.08
Portafogli,45,Restituzione di parte del debito (Alessandra) 20 + restituzione debito 25,19/04/2019 17:27.25
Portafogli,-10,Uscita a caso venerdì sera,20/04/2019 13:17.28
Portafogli,-15,Uscita Sabato sera,21/04/2019 11:08.26
Portafogli,-5,Pasquetta,23/04/2019 10:26.57
Genius Card,-10.0,Ricarica HO.  (Scadenza del: 25/04/2019),23/04/2019 22:28.55
